T;confirmed.V1;recovered.V1;dead.V1
1/22/20;0;0;0
1/23/20;0;0;0
1/24/20;0;0;0
1/25/20;0;0;0
1/26/20;0;0;0
1/27/20;1;0;0
1/28/20;4;0;0
1/29/20;4;0;0
1/30/20;4;0;0
1/31/20;5;0;0
2/1/20;8;0;0
2/2/20;10;0;0
2/3/20;12;0;0
2/4/20;12;0;0
2/5/20;12;0;0
2/6/20;12;0;0
2/7/20;13;0;0
2/8/20;13;0;0
2/9/20;14;0;0
2/10/20;14;0;0
2/11/20;16;0;0
2/12/20;16;0;0
2/13/20;16;1;0
2/14/20;16;1;0
2/15/20;16;1;0
2/16/20;16;1;0
2/17/20;16;1;0
2/18/20;16;12;0
2/19/20;16;12;0
2/20/20;16;12;0
2/21/20;16;14;0
2/22/20;16;14;0
2/23/20;16;14;0
2/24/20;16;14;0
2/25/20;17;14;0
2/26/20;27;15;0
2/27/20;46;16;0
2/28/20;48;16;0
2/29/20;79;16;0
3/1/20;130;16;0
3/2/20;159;16;0
3/3/20;196;16;0
3/4/20;262;16;0
3/5/20;482;16;0
3/6/20;670;17;0
3/7/20;799;18;0
3/8/20;1040;18;0
3/9/20;1176;18;2
3/10/20;1457;18;2
3/11/20;1908;25;3
3/12/20;2078;25;3
3/13/20;3675;46;7
3/14/20;4585;46;9
3/15/20;5795;46;11
3/16/20;7272;67;17
3/17/20;9257;67;24
3/18/20;12327;105;28
3/19/20;15320;113;44
3/20/20;19848;180;67
3/21/20;22213;233;84
3/22/20;24873;266;94
3/23/20;29056;266;123
3/24/20;32986;3243;157
3/25/20;37323;3547;206
3/26/20;43938;5673;267
3/27/20;50871;6658;342
3/28/20;57695;8481;433
3/29/20;62095;9211;533
3/30/20;66885;13500;645
3/31/20;71808;16100;775
4/1/20;77872;18700;920
4/2/20;84794;22440;1107
4/3/20;91159;24575;1275
4/4/20;96092;26400;1444
